Service Request (SR) Number,SR Type Code,SR Description,Owning Department,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile,Calculated Council District
14-00104545,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 12:22:50 PM,05/31/2014 09:53:38 AM,05/31/2014 12:22:51 PM,05/31/2014 12:22:50 PM,"426 E ST ELMO RD, AUSTIN, TX",426,ST ELMO,AUSTIN,78745,TRAVIS,3108453.79467909,10051471.7418145,30.21543714,-97.76277293,"(30.21543714, -97.76277293)",3,644G,MH18,3
14-00104663,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 12:16:58 PM,05/31/2014 12:16:58 PM,05/31/2014 12:16:58 PM,,"2623 GWENDOLYN LN, AUSTIN, TX",2623,GWENDOLYN,AUSTIN,78748,TRAVIS,3085578.20610567,10036141.172403,30.17472808,-97.83626678,"(30.17472808, -97.83626678)",5,672M,MD14,5
14-00104661,HHSGRAFF,Graffiti Abatement,Health & Human Services,Phone,New,05/31/2014 12:13:51 PM,05/31/2014 12:13:51 PM,05/31/2014 12:13:51 PM,,"4500 AVENUE A, AUSTIN, TX",4500,AVENUE A,AUSTIN,78751,TRAVIS,3117344.34378204,10086254.2899917,30.31048081,-97.73205889,"(30.31048081, -97.73205889)",9,555P,MJ26,9
14-00104656,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/31/2014 12:10:31 PM,05/31/2014 12:10:31 PM,05/31/2014 12:10:31 PM,,"7304 EASTCREST DR, AUSTIN, TX",7304,EASTCREST,AUSTIN,78752,TRAVIS,3124460.43193444,10096113.3159866,30.33712216,-97.70877681,"(30.33712216, -97.70877681)",4,525Z,MK28,4
14-00104619,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Closed,05/31/2014 01:08:21 PM,05/31/2014 11:16:26 AM,05/31/2014 12:10:28 PM,05/31/2014 01:08:21 PM,"E 17TH ST &E M FRANKLIN AVE, AUSTIN, TX",,E 17TH ST &E M FRANKLIN AVE,AUSTIN,78721,TRAVIS,3129123.75,10075940,30.28136592,-97.69551481,"(30.28136592, -97.69551481)",1,586K,ML23,1
14-00104652,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,New,05/31/2014 12:07:21 PM,05/31/2014 12:07:21 PM,05/31/2014 12:07:21 PM,,"318 W SLAUGHTER LN, AUSTIN, TX",318,SLAUGHTER,AUSTIN,78748,TRAVIS,3098635.24968688,10034288.3663752,30.16882251,-97.79509093,"(30.16882251, -97.79509093)",5,673R,MF14,5
14-00104648,ACCOYTE,Coyote Complaints,Animal Services Office,Phone,New,05/31/2014 12:05:17 PM,05/31/2014 12:05:17 PM,05/31/2014 12:05:17 PM,,"3701 GRAYSON LN, AUSTIN, TX",3701,GRAYSON,AUSTIN,78722,TRAVIS,3124784.67984778,10078234.9451776,30.28795648,-97.70908608,"(30.28795648, -97.70908608)",9,585H,MK24,9
14-00104588,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/31/2014 12:02:07 PM,05/31/2014 10:39:36 AM,05/31/2014 12:02:08 PM,05/31/2014 12:02:07 PM,"8705 BARROW GLEN LOOP, AUSTIN, TX 78731",8705,BARROW GLEN,AUSTIN,78749,TRAVIS,3078620.25,10046441,30.20346872,-97.85755513,"(30.20346872, -97.85755513)",8,642P,MC17,8
14-00104645,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,New,05/31/2014 12:01:47 PM,05/31/2014 12:01:47 PM,05/31/2014 12:01:47 PM,,"5509 MAPLELEAF DR, AUSTIN, TX",5509,MAPLELEAF,AUSTIN,78723,TRAVIS,3130339.29959114,10085646.6001854,30.30796831,-97.69093451,"(30.30796831, -97.69093451)",4,556T,ML25,4
14-00104644,CONSTRUC,Construction Items- ROW,Transportation,Phone,New,05/31/2014 11:59:07 AM,05/31/2014 11:59:07 AM,05/31/2014 11:59:07 AM,,"1501 ULLRICH AVE, AUSTIN, TX",1501,ULLRICH,AUSTIN,78756,TRAVIS,3116900.14176666,10093546.3455942,30.33055412,-97.73292606,"(30.33055412, -97.73292606)",7,555B,MJ27,7
14-00104643,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Open,05/31/2014 11:58:31 AM,05/31/2014 11:58:31 AM,05/31/2014 11:59:01 AM,,"9303 SLAYTON DR, AUSTIN, TX",9303,SLAYTON,AUSTIN,78753,TRAVIS,3128775.18030743,10105001.6467201,30.36127406,-97.69443489,"(30.36127406, -97.69443489)",4,526F,ML30,4
14-00104641,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,New,05/31/2014 11:55:11 AM,05/31/2014 11:55:11 AM,05/31/2014 11:55:11 AM,,"714 TURTLE CREEK BLVD 115, AUSTIN, TX",714,TURTLE CREEK,AUSTIN,78745,TRAVIS,3101716.24981272,10047146.1101463,30.20397287,-97.78441174,"(30.20397287, -97.78441174)",2,644N,MG17,2
14-00100523,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/31/2014 11:53:40 AM,05/26/2014 08:35:56 AM,05/31/2014 11:53:41 AM,05/31/2014 11:53:40 AM,"4201 HYRIDGE DR, AUSTIN, TX 78759",4201,HYRIDGE,AUSTIN,78759,TRAVIS,3110367.75,10111968,30.3816109,-97.7522716,"(30.3816109, -97.7522716)",10,494R,MH32,10
14-00104640,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 11:52:54 AM,05/31/2014 11:52:54 AM,05/31/2014 11:52:54 AM,,"7114 WINDRIFT WAY, AUSTIN, TX",7114,WINDRIFT,AUSTIN,78745,TRAVIS,3097024.42575375,10044411.7386338,30.19675117,-97.79945729,"(30.19675117, -97.79945729)",5,643Z,MF16,5
14-00104499,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Work In Progress,05/31/2014 11:52:38 AM,05/31/2014 08:52:14 AM,05/31/2014 11:52:39 AM,,"4201 HYRIDGE DR, AUSTIN, TX 78759",4201,HYRIDGE,AUSTIN,78759,TRAVIS,3110367.75,10111968,30.3816109,-97.7522716,"(30.3816109, -97.7522716)",10,494R,MH32,10
14-00104639,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,New,05/31/2014 11:52:31 AM,05/31/2014 11:52:31 AM,05/31/2014 11:52:31 AM,,"6102 DANWOOD DR, AUSTIN, TX",6102,DANWOOD,AUSTIN,78759,TRAVIS,3108074.75,10125609,30.41925433,-97.75854043,"(30.41925433, -97.75854043)",10,464R,MH35,10
14-00095282,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/31/2014 11:51:05 AM,05/19/2014 09:10:46 AM,05/31/2014 11:51:06 AM,05/31/2014 11:51:05 AM,"4201 HYRIDGE DR, AUSTIN, TX 78759",4201,HYRIDGE,AUSTIN,78759,TRAVIS,3110367.75,10111968,30.3816109,-97.7522716,"(30.3816109, -97.7522716)",10,494R,MH32,10
14-00104474,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/31/2014 11:47:00 AM,05/31/2014 08:11:10 AM,05/31/2014 11:47:00 AM,05/31/2014 11:47:00 AM,"4550 MUELLER BLVD, AUSTIN, TX 78723",4550,MUELLER,AUSTIN,78723,TRAVIS,3125254.8,10081611.37,30.29720719,-97.7073445,"(30.29720719, -97.7073445)",9,556W,ML25,9
14-00103808,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 11:43:43 AM,05/30/2014 11:03:03 AM,05/31/2014 11:43:44 AM,05/31/2014 11:43:43 AM,"4105 DEEPWOODS DR, AUSTIN, TX",4105,DEEPWOODS,AUSTIN,78731,TRAVIS,3106615.09938218,10105595.6343307,30.36433292,-97.76463617,"(30.36433292, -97.76463617)",10,524C,MH30,10
14-00103847,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Duplicate (closed),05/31/2014 11:43:43 AM,05/30/2014 11:39:25 AM,05/31/2014 11:43:43 AM,05/31/2014 11:43:43 AM,"4105 DEEPWOODS DR, AUSTIN, TX",4105,DEEPWOODS,AUSTIN,78731,TRAVIS,3106615.09938218,10105595.6343307,30.36433292,-97.76463617,"(30.36433292, -97.76463617)",10,524C,MH30,10
14-00104478,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Duplicate (closed),05/31/2014 11:43:43 AM,05/31/2014 08:16:59 AM,05/31/2014 11:43:43 AM,05/31/2014 11:43:43 AM,"4100 DEEPWOODS DR, AUSTIN, TX",4100,DEEPWOODS,AUSTIN,78731,TRAVIS,3106862.68577833,10105532.342787,30.36414322,-97.76385596,"(30.36414322, -97.76385596)",10,524C,MH30,10
14-00104543,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 11:39:46 AM,05/31/2014 09:51:33 AM,05/31/2014 11:39:47 AM,05/31/2014 11:39:46 AM,"DEEPWOODS DR & MESA DR, AUSTIN, TX",,DEEPWOODS DR & MESA DR,AUSTIN,78731,TRAVIS,3106873.25,10105506,30.36407013,-97.76382441,"(30.36407013, -97.76382441)",10,524C,MH30,10
14-00101692,ACPROPER,Animal - Proper Care,Animal Services Office,Phone,Closed,05/31/2014 12:33:19 PM,05/27/2014 06:12:45 PM,05/31/2014 11:35:25 AM,05/31/2014 12:33:19 PM,"2317 COCAO LN, AUSTIN, TX",2317,COCAO,AUSTIN,78744,TRAVIS,3113047.65801515,10045066.8969019,30.1975386,-97.74870406,"(30.1975386, -97.74870406)",2,645S,MJ16,2
14-00104458,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/31/2014 11:35:19 AM,05/31/2014 07:35:03 AM,05/31/2014 11:35:20 AM,05/31/2014 11:35:19 AM,"4641 NORMAN TRL, AUSTIN, TX 78749",4641,NORMAN,AUSTIN,78749,TRAVIS,3076692.31999999,10042947.97,30.19398456,-97.86390202,"(30.19398456, -97.86390202)",8,642X,MC16,8
14-00103708,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 11:34:42 AM,05/30/2014 09:11:58 AM,05/31/2014 11:34:42 AM,05/31/2014 11:34:42 AM,"4500 SPICEWOOD SPRINGS RD, AUSTIN, TX",4500,SPICEWOOD SPRINGS,AUSTIN,78759,TRAVIS,3108181.63779488,10109390.9989213,30.37466633,-97.75939185,"(30.37466633, -97.75939185)",10,494V,MH31,10
14-00104630,SBSIDERE,Sidewalk Repair,Public Works,Web,New,05/31/2014 11:31:36 AM,05/31/2014 11:31:36 AM,05/31/2014 11:31:36 AM,,"1100 ROBERT E LEE RD PARK, AUSTIN, TX 78704",1100,ROBERT E LEE,AUSTIN,78704,TRAVIS,3105417,10067890,30.26076113,-97.77118758,"(30.26076113, -97.77118758)",5,614B,MG21,5
14-00097799,WWREPORT,Water Waste Report,Austin Water Utility,Web,Closed,05/31/2014 11:28:40 AM,05/22/2014 08:14:49 AM,05/31/2014 11:28:41 AM,05/31/2014 11:28:40 AM,"7204 WEST RIM DR, AUSTIN, TX 78731",7204,WEST RIM,AUSTIN,78731,TRAVIS,3104639,10105100,30.36309578,-97.77093657,"(30.36309578, -97.77093657)",,524C,MH30,10
14-00104626,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 11:24:42 AM,05/31/2014 11:24:42 AM,05/31/2014 11:24:42 AM,,"800 NORTH BEND DR, AUSTIN, TX",800,NORTH BEND,AUSTIN,78758,TRAVIS,3131541.84586759,10113540.1985454,30.38456431,-97.68502057,"(30.38456431, -97.68502057)",7,496Q,MM32,7
14-00104354,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/31/2014 11:24:11 AM,05/30/2014 10:16:46 PM,05/31/2014 11:24:12 AM,05/31/2014 11:24:11 AM,"7204 CREEKSIDE DR, AUSTIN, TX 78752",7204,CREEKSIDE,AUSTIN,78752,TRAVIS,3132119.25,10091706,30.32450814,-97.68483837,"(30.32450814, -97.68483837)",1,556G,MM27,1
14-00104623,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 11:22:01 AM,05/31/2014 11:22:01 AM,05/31/2014 11:22:01 AM,05/31/2014 11:22:01 AM,"6711 BURNET LN, AUSTIN, TX",6711,BURNET,AUSTIN,78757,TRAVIS,3115527.46532971,10097975.9453424,30.34281858,-97.73694818,"(30.34281858, -97.73694818)",7,525T,MJ28,7
14-00104612,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Closed,05/31/2014 12:18:19 PM,05/31/2014 11:03:50 AM,05/31/2014 11:20:25 AM,05/31/2014 12:18:19 PM,"10505 S IH 35 SVRD NB, AUSTIN, TX",10505,35,AUSTIN,78747,TRAVIS,3099587.66732047,10026765.8418608,30.14808445,-97.79262152,"(30.14808445, -97.79262152)",5,703H,MF12,5
14-00099986,ACFOUND,Found Animal - Pick Up,Animal Services Office,Phone,Closed,05/31/2014 12:18:18 PM,05/25/2014 07:59:36 AM,05/31/2014 11:20:24 AM,05/31/2014 12:18:18 PM,"10305 GOLDEN QUAIL DR, AUSTIN, TX",10305,GOLDEN QUAIL,AUSTIN,78758,TRAVIS,3126339.80449279,10110667.0477158,30.37700592,-97.70172971,"(30.37700592, -97.70172971)",4,496S,ML31,4
14-00104614,SIGNTRAF,Sign - Traffic Sign Emergency,Transportation,Phone,Closed,05/31/2014 11:17:37 AM,05/31/2014 11:08:23 AM,05/31/2014 11:17:38 AM,05/31/2014 11:17:37 AM,"CURAHEE DR & LA CROSSE AVE, AUSTIN, TX",,CURAHEE DR & LA CROSSE AVE,AUSTIN,78739,TRAVIS,3063749.59,10043669.76,30.19675208,-97.90480917,"(30.19675208, -97.90480917)",8,641X,MA16,8
14-00104609,PRTRROWE,Tree Issue ROW/Emergency (PARD),Parks & Recreation Department,Phone,Open,05/31/2014 11:01:42 AM,05/31/2014 11:01:42 AM,05/31/2014 11:16:27 AM,,"BOLM RD & GULLETT ST, AUSTIN, TX",,BOLM RD & GULLETT ST,AUSTIN,78702,TRAVIS,3129686.75,10068297,30.26032,-97.69430605,"(30.26032, -97.69430605)",3,616B,ML21,3
14-00104618,COAACDD,Dangerous/Vicious Dog Investigation,Animal Services Office,Phone,Open,05/31/2014 11:14:17 AM,05/31/2014 11:14:17 AM,05/31/2014 11:14:17 AM,,"4509 E ST ELMO RD, AUSTIN, TX",4509,ST ELMO,AUSTIN,78744,TRAVIS,3116216.65919215,10048154.1464202,30.20582209,-97.73844785,"(30.20582209, -97.73844785)",2,645P,MJ17,2
14-00104607,PRTRROWM,Tree Issue ROW/Maintenance (PARD),Parks & Recreation Department,Phone,New,05/31/2014 11:00:08 AM,05/31/2014 11:00:08 AM,05/31/2014 11:13:14 AM,,"3904 MEDICAL PKWY, AUSTIN, TX",3904,MEDICAL,AUSTIN,78756,TRAVIS,3113810.7512053,10084969.3746593,30.30717546,-97.7433488,"(30.30717546, -97.7433488)",10,555S,MJ25,10
14-00104616,SWSRECYC,ARR Missed Recycling,Austin Resource Recovery,Phone,New,05/31/2014 11:08:40 AM,05/31/2014 11:08:40 AM,05/31/2014 11:08:40 AM,,"2812 ROCK TERRACE DR, AUSTIN, TX",2812,ROCK TERRACE,AUSTIN,78704,TRAVIS,3100724.8740871,10064547.6157076,30.25186962,-97.78628802,"(30.25186962, -97.78628802)",5,614E,MG21,5
14-00104613,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/31/2014 11:04:16 AM,05/31/2014 11:04:16 AM,05/31/2014 11:04:16 AM,,"GUADALUPE ST &W CRESTLAND DR, AUSTIN, TX",,GUADALUPE ST &W CRESTLAND DR,AUSTIN,78752,TRAVIS,3123139.25,10097194,30.34017842,-97.71288301,"(30.34017842, -97.71288301)",4,525V,MK28,4
14-00104610,TRASIGMA,Traffic Signal - Maintenance,Transportation,Phone,New,05/31/2014 11:01:45 AM,05/31/2014 11:01:45 AM,05/31/2014 11:01:45 AM,,"E 45TH ST & SPEEDWAY, AUSTIN, TX",,E 45TH ST & SPEEDWAY,AUSTIN,78751,TRAVIS,3118516,10085609,30.30863163,-97.72839475,"(30.30863163, -97.72839475)",9,555U,MK25,9
14-00103626,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 10:56:05 AM,05/30/2014 07:25:23 AM,05/31/2014 10:56:05 AM,05/31/2014 10:56:05 AM,"508 E HOWARD LN, AUSTIN, TX",508,HOWARD,AUSTIN,78660,TRAVIS,3140950.68803902,10124568.497971,30.41425971,-97.65434694,"(30.41425971, -97.65434694)",7,467T,MN34,7
14-00104476,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 10:54:51 AM,05/31/2014 08:12:15 AM,05/31/2014 10:54:52 AM,05/31/2014 10:54:51 AM,"603 CARPENTER AVE, AUSTIN, TX",603,CARPENTER,AUSTIN,78753,TRAVIS,3127501.40755221,10103657.6998227,30.35766278,-97.69857345,"(30.35766278, -97.69857345)",4,526E,ML30,4
14-00102514,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 10:53:36 AM,05/28/2014 06:47:29 PM,05/31/2014 10:53:37 AM,05/31/2014 10:53:36 AM,"8071 N LAMAR BLVD NB, AUSTIN, TX",8071,LAMAR BLVD NB,AUSTIN,78753,TRAVIS,3123841.38013637,10100688.7646449,30.34973947,-97.71039667,"(30.34973947, -97.71039667)",4,525R,MK29,4
14-00104602,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 10:51:46 AM,05/31/2014 10:51:46 AM,05/31/2014 10:51:46 AM,,"105 VICTOR ST, AUSTIN, TX",105,VICTOR,AUSTIN,78753,TRAVIS,3132401.92135567,10110729.7021343,30.37678242,-97.682506,"(30.37678242, -97.682506)",4,496U,MM31,4
14-00104597,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 10:45:17 AM,05/31/2014 10:45:17 AM,05/31/2014 10:45:17 AM,,"6700 MIRA LOMA LN, AUSTIN, TX",6700,MIRA LOMA,AUSTIN,78723,TRAVIS,3132080.10308745,10089755.6651105,30.31914958,-97.68510956,"(30.31914958, -97.68510956)",1,556L,MM26,1
14-00104594,TRASIGMA,Traffic Signal - Maintenance,Transportation,Phone,New,05/31/2014 10:43:47 AM,05/31/2014 10:43:47 AM,05/31/2014 10:43:47 AM,,"AIRPORT BLVD & ALDRICH ST, AUSTIN, TX",,AIRPORT BLVD & ALDRICH ST,AUSTIN,78723,TRAVIS,3124726.94,10081829.12,30.29784,-97.70900035,"(30.29784, -97.70900035)",9,555Z,MK25,9
14-00104591,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Open,05/31/2014 10:42:26 AM,05/31/2014 10:42:26 AM,05/31/2014 10:42:26 AM,,"10505 S IH 35 SVRD NB, AUSTIN, TX",10505,35,AUSTIN,78747,TRAVIS,3099587.66732047,10026765.8418608,30.14808445,-97.79262152,"(30.14808445, -97.79262152)",5,703H,MF12,5
14-00104587,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 10:39:21 AM,05/31/2014 10:39:21 AM,05/31/2014 10:39:21 AM,,"8512 REMINGTON LN, AUSTIN, TX",8512,REMINGTON,AUSTIN,78758,TRAVIS,3122255.49522012,10104654.571354,30.36074356,-97.71512718,"(30.36074356, -97.71512718)",4,525H,MK30,4
14-00104585,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Open,05/31/2014 10:38:03 AM,05/31/2014 10:38:03 AM,05/31/2014 10:38:03 AM,,"2815 VERNON AVE, AUSTIN, TX",2815,VERNON,AUSTIN,78723,TRAVIS,3134440.93034773,10085987.1324761,30.30863585,-97.6779145,"(30.30863585, -97.6779145)",1,556U,MM25,1
14-00104584,DRSSPIPE,Standing Water,Watershed Protection,Phone,New,05/31/2014 10:35:23 AM,05/31/2014 10:35:23 AM,05/31/2014 10:35:23 AM,,"3504 SPEEDWAY, AUSTIN, TX",3504,SPEEDWAY,AUSTIN,78705,TRAVIS,3116713.34206737,10082203.5580886,30.29938653,-97.73435791,"(30.29938653, -97.73435791)",9,555X,MJ25,9
14-00104583,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 10:32:16 AM,05/31/2014 10:32:16 AM,05/31/2014 10:32:16 AM,,"10205 FAYLIN DR, AUSTIN, TX",10205,FAYLIN,AUSTIN,78753,TRAVIS,3136273,10105201,30.36133083,-97.67065305,"(30.36133083, -97.67065305)",4,526D,MM30,4
14-00104551,PRMTPOOL,Park Maintenance - Pool Issues,Parks & Recreation Department,Phone,Open,05/31/2014 10:00:16 AM,05/31/2014 10:00:16 AM,05/31/2014 10:32:10 AM,,"3001 HARRIS PARK AVE, AUSTIN, TX",3001,HARRIS PARK,AUSTIN,78705,TRAVIS,3117526.25,10079194,30.29106148,-97.73200575,"(30.29106148, -97.73200575)",9,585F,MJ24,9
14-00104566,PRMTPOOL,Park Maintenance - Pool Issues,Parks & Recreation Department,Phone,Open,05/31/2014 10:12:59 AM,05/31/2014 10:12:59 AM,05/31/2014 10:30:09 AM,,"3001 HARRIS PARK AVE, AUSTIN, TX",3001,HARRIS PARK,AUSTIN,78705,TRAVIS,3117526.25,10079194,30.29106148,-97.73200575,"(30.29106148, -97.73200575)",9,585F,MJ24,9
14-00104571,SIGNTRAF,Sign - Traffic Sign Emergency,Transportation,Phone,Closed,05/31/2014 10:29:02 AM,05/31/2014 10:18:11 AM,05/31/2014 10:29:02 AM,05/31/2014 10:29:02 AM,"SPEEDWAY &E 41ST ST, AUSTIN, TX",,SPEEDWAY &E 41ST ST,AUSTIN,78751,TRAVIS,3117653.5,10083978,30.30420377,-97.73124815,"(30.30420377, -97.73124815)",9,555T,MJ25,9
14-00104567,PRMTPOOL,Park Maintenance - Pool Issues,Parks & Recreation Department,Phone,Open,05/31/2014 10:13:54 AM,05/31/2014 10:13:54 AM,05/31/2014 10:28:58 AM,,"3001 HARRIS PARK AVE, AUSTIN, TX",3001,HARRIS PARK,AUSTIN,78705,TRAVIS,3117526.25,10079194,30.29106148,-97.73200575,"(30.29106148, -97.73200575)",9,585F,MJ24,9
14-00104578,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/31/2014 10:22:36 AM,05/31/2014 10:22:36 AM,05/31/2014 10:22:36 AM,,"4900 NESTING WAY, AUSTIN, TX",4900,NESTING,AUSTIN,78744,TRAVIS,3113669.93761557,10040558.594155,30.18510627,-97.7470666,"(30.18510627, -97.7470666)",2,675E,MJ15,2
14-00104572,STREETL2,Street Light Issue- Address,Austin Energy Department,Phone,New,05/31/2014 10:19:24 AM,05/31/2014 10:19:24 AM,05/31/2014 10:19:24 AM,,"15001 FERNHILL DR, AUSTIN, TX",15001,FERNHILL,AUSTIN,78717,WILLIAMSON,3106950.28113521,10152514.5726275,30.49328592,-97.76013262,"(30.49328592, -97.76013262)",6,404M,MH41,6
14-00104526,TRASIGMA,Traffic Signal - Maintenance,Transportation,Phone,Closed,05/31/2014 10:09:28 AM,05/31/2014 09:35:06 AM,05/31/2014 10:09:29 AM,05/31/2014 10:09:28 AM,"BARTON SPRINGS RD & BOULDIN AVE, AUSTIN, TX",,BARTON SPRINGS RD & BOULDIN AVE,AUSTIN,78704,TRAVIS,3111013.75,10067591,30.25958359,-97.75348703,"(30.25958359, -97.75348703)",9,614D,MH21,9
14-00104559,TRASIGMA,Traffic Signal - Maintenance,Transportation,Phone,Duplicate (closed),05/31/2014 10:09:28 AM,05/31/2014 10:06:33 AM,05/31/2014 10:09:28 AM,05/31/2014 10:09:28 AM,"BARTON SPRINGS RD & BOULDIN AVE, AUSTIN, TX",,BARTON SPRINGS RD & BOULDIN AVE,AUSTIN,78704,TRAVIS,3111013.75,10067591,30.25958359,-97.75348703,"(30.25958359, -97.75348703)",9,614D,MH21,9
14-00104560,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/31/2014 10:07:26 AM,05/31/2014 10:07:26 AM,05/31/2014 10:07:26 AM,,"9900 CHILDRESS DR, AUSTIN, TX",9900,CHILDRESS,AUSTIN,78753,TRAVIS,3134063.59712089,10104641.230814,30.35993733,-97.67769883,"(30.35993733, -97.67769883)",4,526G,MM30,4
14-00104557,PRMTPOOL,Park Maintenance - Pool Issues,Parks & Recreation Department,Phone,Open,05/31/2014 10:06:30 AM,05/31/2014 10:06:30 AM,05/31/2014 10:06:30 AM,,"5201 BERKMAN DR, AUSTIN, TX",5201,BERKMAN,AUSTIN,78723,TRAVIS,3128221.38858495,10084740.3803442,30.30561541,-97.69771227,"(30.30561541, -97.69771227)",4,556T,ML25,4
14-00104556,LOUDMUS1,Loud Music,Economic Development Department,Phone,Closed,05/31/2014 10:04:04 AM,05/31/2014 10:04:04 AM,05/31/2014 10:04:04 AM,05/31/2014 10:04:04 AM,"1812 W 37TH ST, AUSTIN, TX",1812,37TH,AUSTIN,78731,TRAVIS,3110776.87032249,10086008.058736,30.3102245,-97.75288408,"(30.3102245, -97.75288408)",10,554R,MH26,10
14-00104555,SWSRECYC,ARR Missed Recycling,Austin Resource Recovery,Phone,New,05/31/2014 10:02:37 AM,05/31/2014 10:02:37 AM,05/31/2014 10:02:37 AM,,"1700 NORTHRIDGE DR, AUSTIN, TX",1700,NORTHRIDGE,AUSTIN,78723,TRAVIS,3129408.06988626,10087048.6803461,30.31188317,-97.69377931,"(30.31188317, -97.69377931)",4,556P,ML26,4
14-00104550,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,New,05/31/2014 09:59:10 AM,05/31/2014 09:59:10 AM,05/31/2014 09:59:10 AM,,"8417 HARRIER DR, AUSTIN, TX",8417,HARRIER,AUSTIN,78729,WILLIAMSON,3106785.41148119,10141625.5991965,30.46336396,-97.7614552,"(30.46336396, -97.7614552)",,434G,MH39,
14-00104115,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 09:59:08 AM,05/30/2014 04:54:05 PM,05/31/2014 09:59:08 AM,05/31/2014 09:59:08 AM,"1402 NORTHRIDGE DR, AUSTIN, TX",1402,NORTHRIDGE,AUSTIN,78723,TRAVIS,3127777.21220146,10088019.9027373,30.31465918,-97.69887333,"(30.31465918, -97.69887333)",4,556N,ML26,4
14-00104548,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 09:57:38 AM,05/31/2014 09:57:38 AM,05/31/2014 09:57:38 AM,,"1710 COLONY CREEK DR, AUSTIN, TX",1710,COLONY CREEK,AUSTIN,78758,TRAVIS,3122650.82403292,10107371.2531796,30.3681857,-97.71367123,"(30.3681857, -97.71367123)",4,495Z,MK31,4
14-00104538,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/31/2014 09:47:46 AM,05/31/2014 09:47:46 AM,05/31/2014 09:47:46 AM,,"10500 LITTLE PEBBLE DR, AUSTIN, TX",10500,LITTLE PEBBLE,AUSTIN,78758,TRAVIS,3123478.66466819,10112711.7619836,30.38281229,-97.71064769,"(30.38281229, -97.71064769)",4,495R,MK32,4
14-00103698,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,Closed,05/31/2014 09:37:57 AM,05/30/2014 08:58:37 AM,05/31/2014 09:37:58 AM,05/31/2014 09:37:57 AM,"6208 PALM CIR, AUSTIN, TX",6208,PALM,AUSTIN,78741,TRAVIS,3128443.07653727,10058293.7181514,30.23290389,-97.69899443,"(30.23290389, -97.69899443)",3,616S,ML19,3
